TSR,-5°,-4.5°,-4°,-3.5°,-3°,-2.5°,-2°,-1.5°,-1°,-0.5°,0°,0.5°,1°,1.5°,2°,2.5°,3°,3.5°,4°,4.5°,5°
4.943299022,0.2453,0.25834999999999997,0.2714,0.28385,0.2963,0.3083,0.3203,0.3303,0.3403,0.34665,0.353,0.35665,0.3603,0.3603,0.3603,0.3578,0.3553,0.35055000000000003,0.3458,0.33945000000000003,0.3331
4.943299022,0.2453,0.25834999999999997,0.2714,0.28385,0.2963,0.3083,0.3203,0.3303,0.3403,0.34665,0.353,0.35665,0.3603,0.3603,0.3603,0.3578,0.3553,0.35055000000000003,0.3458,0.33945000000000003,0.3331
5.070050279,0.2607,0.27454999999999996,0.2884,0.30179999999999996,0.3152,0.32775,0.3403,0.3498,0.3593,0.3651,0.3709,0.373,0.3751,0.37365,0.3722,0.36824999999999997,0.3643,0.35885,0.3534,0.34614999999999996,0.3389
5.126384171,0.2678,0.28200000000000003,0.2962,0.31010000000000004,0.324,0.3366,0.3492,0.35860000000000003,0.368,0.37324999999999997,0.3785,0.37970000000000004,0.3809,0.37885,0.3768,0.3724,0.368,0.36224999999999996,0.3565,0.34885,0.3412
5.178694213,0.2744,0.29055,0.3067,0.31945,0.3322,0.3449,0.3576,0.36815,0.3787,0.38195,0.3852,0.38565,0.3861,0.38334999999999997,0.3806,0.37595,0.3713,0.3653,0.3593,0.3513,0.3433
5.27285229,0.2865,0.3019,0.3173,0.33220000000000005,0.3471,0.35995,0.3728,0.3811,0.3894,0.39280000000000004,0.3962,0.39544999999999997,0.3947,0.3909,0.3871,0.3821,0.3771,0.37065000000000003,0.3642,0.35545000000000004,0.3467
5.27285229,0.2865,0.3019,0.3173,0.33220000000000005,0.3471,0.35995,0.3728,0.3811,0.3894,0.39280000000000004,0.3962,0.39544999999999997,0.3947,0.3909,0.3871,0.3821,0.3771,0.37065000000000003,0.3642,0.35545000000000004,0.3467
5.27285229,0.2866,0.30195000000000005,0.3173,0.33220000000000005,0.3471,0.35995,0.3728,0.3811,0.3894,0.39280000000000004,0.3962,0.39544999999999997,0.3947,0.3909,0.3871,0.3821,0.3771,0.37065000000000003,0.3642,0.35545000000000004,0.3467
5.355240607,0.2975,0.3136,0.3297,0.34509999999999996,0.3605,0.37345,0.3864,0.39345,0.4005,0.4026,0.4047,0.4028,0.4009,0.3967,0.3925,0.38715,0.3818,0.37495,0.3681,0.35875,0.3494
5.392689842,0.3025,0.319,0.3355,0.35105,0.3666,0.37939999999999996,0.3922,0.39875,0.4053,0.4068,0.4083,0.40590000000000004,0.4035,0.39915,0.3948,0.38939999999999997,0.384,0.37685,0.3697,0.36014999999999997,0.3506
5.492554469,0.3164,0.3338,0.3512,0.3674,0.3836,0.39535,0.4071,0.41195000000000004,0.4168,0.4168,0.4168,0.4134,0.41,0.40545,0.4009,0.3952,0.3895,0.38165000000000004,0.3738,0.3637,0.3536
5.492554469,0.3164,0.3338,0.3512,0.3674,0.3836,0.39535,0.4071,0.41195000000000004,0.4168,0.4168,0.4168,0.4134,0.41,0.40545,0.4009,0.3952,0.3895,0.38165000000000004,0.3738,0.3637,0.3536
5.577055307,0.3286,0.3467,0.3648,0.3816,0.3984,0.4084,0.4184,0.42185,0.4253,0.42364999999999997,0.422,0.41859999999999997,0.4152,0.4105,0.4058,0.39985,0.3939,0.38544999999999996,0.377,0.3664,0.3558
5.649484596,0.3393,0.35805,0.3768,0.39345,0.4101,0.41859999999999997,0.4271,0.4293,0.4315,0.42935,0.4272,0.42335,0.4195,0.41469999999999996,0.4099,0.4037,0.3975,0.3885,0.3795,0.36855,0.3576
5.649484596,0.3393,0.35805,0.3768,0.39345,0.4101,0.41859999999999997,0.4271,0.4293,0.4315,0.42935,0.4272,0.42335,0.4195,0.41469999999999996,0.4099,0.4037,0.3975,0.3885,0.3795,0.36855,0.3576
5.712256647,0.3488,0.36829999999999996,0.3878,0.40375,0.4197,0.4268,0.4339,0.435,0.4361,0.4335,0.4309,0.427,0.4231,0.41825,0.4134,0.4069,0.4004,0.39095,0.3815,0.37024999999999997,0.359
